"","Column","Row","Concentration (ng/ul)","Volume for 10ng (ul)","Volume for 60ng (ul)","Volume for 80ng (ul)"
"61","X3","G",8.74529041525085,1.14347260355826,6.86083562134957,9.14778082846609
"62","X4","G",4.09105086211051,2.44435973471157,14.6661584082694,19.5548778776926
"63","X5","G",3.3034924812965,3.02709936729608,18.1625962037765,24.2167949383687
"64","X6","G",1.20305572903986,8.31216689187031,49.8730013512219,66.4973351349625
"65","X7","G",22.5601662094655,0.443259145661982,2.65955487397189,3.54607316529586
"66","X8","G",3.50951685429317,2.84939506353049,17.0963703811829,22.7951605082439
"67","X9","G",9.50305536695484,1.05229314297938,6.3137588578763,8.41834514383506
"68","X10","G",0.757559642819226,13.2002807894906,79.2016847369437,105.602246315925
"69","X11","G",1.42453895676343,7.01981504438471,42.1188902663082,56.1585203550777
"70","X12","G",4.20094926571447,2.38041437006007,14.2824862203604,19.0433149604805
"71","X3","H",8.46984173102611,1.18065960587773,7.08395763526636,9.44527684702181
"72","X4","H",8.95974689082583,1.11610295713145,6.69661774278869,8.92882365705158
"73","X5","H",7.33066467269663,1.36413278283556,8.18479669701337,10.9130622626845
"74","X6","H",1.95491820893903,5.11530352230295,30.6918211338177,40.9224281784236
"75","X7","H",0.946157670487392,10.5690629711311,63.4143778267869,84.5525037690491
"76","X8","H",2.70874817943981,3.69174221358151,22.1504532814891,29.5339377086521
"77","X9","H",0.683357140130112,14.6336365170575,87.8018191023452,117.06909213646
"78","X10","H",5.30948968467609,1.88342017668127,11.3005210600876,15.0673614134501
"79","X11","H",0.823048972844089,12.1499453008786,72.8996718052717,97.1995624070289
"80","X12","H",0.608311427183166,16.4389481327119,98.6336887962712,131.511585061695
